DateTime,Humidity Change 12 hours before,Precipation Rate,Scaled Humidity
2020:05:04:18,-28,0,-21
2020:05:05:00,21,0,-3
2020:05:05:06,24,0,3
2020:05:05:12,-17,0,-20
2020:05:05:18,-26,0,-23
2020:05:06:00,23,0,3
2020:05:06:06,29,0,6
2020:05:06:12,-32,0,-29
2020:05:06:18,-35,0,-29
2020:05:07:00,25,0,-4
2020:05:07:06,23,0,-6
2020:05:07:12,-19,0,-23
2020:05:07:18,-18,0,-24
2020:05:08:00,20,0,-3
2020:05:08:06,25,0,1
2020:05:08:12,-16,0,-19
2020:05:08:18,-22,0,-21
2020:05:09:00,37,0,18
2020:05:09:06,38,795,17
2020:05:09:12,-15,5745,3
2020:05:09:18,-3,390,14
2020:05:10:00,17,765,20
2020:05:10:06,5,6120,19
2020:05:10:12,0,3000,20
2020:05:10:18,-2,0,17
2020:05:11:00,0,0,20
2020:05:11:06,-2,105,15
2020:05:11:12,-7,525,13
2020:05:11:18,5,0,20
2020:05:12:00,7,0,20
2020:05:12:06,0,60,20
2020:05:12:12,-6,2925,14
2020:05:12:18,0,2130,20
2020:05:13:00,6,15,20
2020:05:13:06,0,30,20
2020:05:13:12,-4,0,16
2020:05:13:18,-2,0,18
2020:05:14:00,-1,75,15
2020:05:14:06,-5,1740,13
2020:05:14:12,5,3165,20
2020:05:14:18,7,270,20
2020:05:15:00,0,75,20
2020:05:15:06,-1,945,19
2020:05:15:12,-2,3300,18
2020:05:15:18,-7,315,12
2020:05:16:00,2,30,20
2020:05:16:06,1,3480,13
2020:05:16:12,-7,5265,13
2020:05:16:18,5,360,18
2020:05:17:00,-8,0,5
2020:05:17:06,-5,90,13
2020:05:17:12,0,135,5
2020:05:17:18,-23,0,-10
2020:05:18:00,1,0,6
2020:05:18:06,22,0,12
2020:05:18:12,-24,0,-18
2020:05:18:18,-30,0,-18
2020:05:19:00,22,0,4
2020:05:19:06,19,0,1
2020:05:19:12,-41,0,-37
2020:05:19:18,-39,0,-38
2020:05:20:00,24,0,-13
2020:05:20:06,46,0,8
2020:05:20:12,-25,0,-38
2020:05:20:18,-49,0,-41
2020:05:21:00,25,0,-13
2020:05:21:06,36,105,-5
2020:05:21:12,-23,0,-36
2020:05:21:18,-28,0,-33
2020:05:22:00,3,0,-33
2020:05:22:06,12,30,-21
2020:05:22:12,6,225,-27
2020:05:22:18,0,0,-21
2020:05:23:00,36,0,9
2020:05:23:06,41,0,20
2020:05:23:12,1,0,10
2020:05:23:18,-14,0,6
2020:05:24:00,-2,0,8
2020:05:24:06,1,0,7
2020:05:24:12,-46,0,-38
2020:05:24:18,-51,0,-44
2020:05:25:00,20,0,-18
2020:05:25:06,48,0,4
2020:05:25:12,-13,0,-31
2020:05:25:18,-38,0,-34
2020:05:26:00,23,0,-8
2020:05:26:06,45,0,11
2020:05:26:12,-28,0,-36
2020:05:26:18,-52,0,-41
2020:05:27:00,21,0,-15
2020:05:27:06,36,0,-5
2020:05:27:12,-24,0,-39
2020:05:27:18,-33,0,-38
2020:05:28:00,44,0,5
2020:05:28:06,43,0,5
2020:05:28:12,-45,0,-40
2020:05:28:18,-43,0,-38
2020:05:29:00,27,0,-13
2020:05:29:06,38,0,0
2020:05:29:12,-34,0,-47
2020:05:29:18,-42,0,-42
2020:05:30:00,52,0,5
2020:05:30:06,61,15,19
2020:05:30:12,-35,2190,-30
2020:05:30:18,-38,465,-19
2020:05:31:00,50,0,20
2020:05:31:06,31,105,12
2020:05:31:12,-35,945,-15
2020:05:31:18,-8,0,4
2020:06:01:00,35,0,20
2020:06:01:06,15,0,19
2020:06:01:12,-20,1170,0
2020:06:01:18,-13,30,6
2020:06:02:00,20,0,20
2020:06:02:06,14,270,20
2020:06:02:12,-15,240,5
2020:06:02:18,-21,765,-1
2020:06:03:00,11,0,16
2020:06:03:06,20,2475,19
2020:06:03:12,-3,2880,13
2020:06:03:18,0,0,19
2020:06:04:00,7,15,20
2020:06:04:06,1,5040,20
2020:06:04:12,-9,3630,11
2020:06:04:18,-13,135,7
2020:06:05:00,0,0,11
2020:06:05:06,-3,0,4
2020:06:05:12,-7,0,4
2020:06:05:18,-10,0,-6
2020:06:06:00,0,0,4
2020:06:06:06,24,2175,18
2020:06:06:12,9,4995,13
2020:06:06:18,-1,1050,17
2020:06:07:00,7,0,20
2020:06:07:06,3,1980,20
2020:06:07:12,0,5160,20
2020:06:07:18,-5,705,15
2020:06:08:00,-8,195,12
2020:06:08:06,2,1035,17
2020:06:08:12,-3,1605,9
2020:06:08:18,-6,525,11
2020:06:09:00,3,0,12
2020:06:09:06,4,540,15
2020:06:09:12,-5,4080,7
2020:06:09:18,-4,0,11
2020:06:10:00,4,0,11
2020:06:10:06,7,975,18
2020:06:10:12,-9,1980,2
2020:06:10:18,-2,1890,16
2020:06:11:00,15,165,17
2020:06:11:06,4,195,20
2020:06:11:12,-2,1620,15
2020:06:11:18,0,2325,20
2020:06:12:00,3,0,18
2020:06:12:06,0,435,20
2020:06:12:12,-13,300,5
2020:06:12:18,-20,0,0
2020:06:13:00,7,0,12
2020:06:13:06,15,0,15
2020:06:13:12,-17,0,-5
2020:06:13:18,-30,0,-15
2020:06:14:00,1,0,-4
2020:06:14:06,19,0,4
2020:06:14:12,-15,0,-19
2020:06:14:18,-25,0,-21
2020:06:15:00,29,0,10
2020:06:15:06,39,660,18
2020:06:15:12,-26,780,-16
2020:06:15:18,-23,630,-5
2020:06:16:00,36,0,20
2020:06:16:06,25,4830,20
2020:06:16:12,-8,6450,12
2020:06:16:18,-8,810,12
2020:06:17:00,8,0,20
2020:06:17:06,3,1470,15
2020:06:17:12,-16,2625,4
2020:06:17:18,-5,1080,10
2020:06:18:00,16,0,20
2020:06:18:06,10,4335,20
2020:06:18:12,-5,3150,15
2020:06:18:18,-13,180,7
2020:06:19:00,3,0,18
2020:06:19:06,6,1335,13
2020:06:19:12,-16,2055,2
2020:06:19:18,-7,345,6
2020:06:20:00,15,0,17
2020:06:20:06,9,3435,15
2020:06:20:12,-16,5610,1
2020:06:20:18,-15,15,0
2020:06:21:00,13,0,14
2020:06:21:06,8,765,8
2020:06:21:12,-28,1365,-14
2020:06:21:18,-13,0,-5
2020:06:22:00,22,15,8
2020:06:22:06,16,0,11
2020:06:22:12,-25,0,-17
2020:06:22:18,-37,0,-26
2020:06:23:00,20,0,3
2020:06:23:06,39,0,13
2020:06:23:12,-33,0,-30
2020:06:23:18,-44,0,-31
2020:06:24:00,40,0,10
2020:06:24:06,41,0,10
2020:06:24:12,-43,0,-33
2020:06:24:18,-42,0,-32
2020:06:25:00,45,0,12
2020:06:25:06,45,0,13
2020:06:25:12,-42,0,-30
2020:06:25:18,-42,0,-29
2020:06:26:00,28,0,-2
2020:06:26:06,45,0,16
2020:06:26:12,-20,4335,-22
2020:06:26:18,-22,0,-6
2020:06:27:00,33,0,11
2020:06:27:06,22,105,16
2020:06:27:12,-25,15,-14
2020:06:27:18,-44,0,-28
2020:06:28:00,13,0,-1
2020:06:28:06,32,1485,4
2020:06:28:12,-8,1785,-9
2020:06:28:18,-14,0,-10
2020:06:29:00,29,0,20
2020:06:29:06,21,210,11
2020:06:29:12,-24,2145,-4
2020:06:29:18,-20,0,-9
2020:06:30:00,24,0,20
2020:06:30:06,14,0,5
2020:06:30:12,-37,0,-17
2020:06:30:18,-29,0,-24
2020:07:01:00,22,0,5
2020:07:01:06,42,0,18
2020:07:01:12,-10,300,-5
2020:07:01:18,-16,0,2
2020:07:02:00,25,0,20
2020:07:02:06,16,4980,18
2020:07:02:12,0,5355,20
2020:07:02:18,2,15,20
2020:07:03:00,-6,15,14
2020:07:03:06,-4,345,16
2020:07:03:12,-8,60,6
2020:07:03:18,-28,0,-12
